"class","sample","1.02_567.3333n","1.32_480.3092m/z","1.32_495.3370n","1.54_509.3486n","1.82_523.3658n","1.83_508.3403m/z","4.77_807.5028m/z","4.86_857.5183m/z","5.35_859.5325m/z","5.82_885.5481m/z","5.84_809.5169m/z","5.93_747.4981m/z","6.04_835.5335m/z","6.34_723.4959m/z","6.77_887.5651m/z","6.90_913.5804m/z","7.00_744.5549m/z","7.01_889.5806m/z","7.29_772.5874m/z","7.30_788.6180m/z"
"disease","MS15006001",754874.332677781,309931.83628296,84913023.6891015,1849008.76202267,32663687.6368714,185622.029125883,2266.87319002609,492363.463427587,43210.5975877969,19468.4617659549,4316.65009592732,10494.9126925299,301091.443608127,112270.569127996,1458508.26023132,139385.131072476,11018868.7670663,270087.888515819,3119012.71220615,21203834.8350796
"disease","MS15006002",130203.382152307,407697.773619275,98237642.9709062,1739895.39534528,49323705.0211692,293383.399206472,8637.08363993498,1079175.09036079,127780.579408032,22582.8274290009,15547.0327087796,22811.1736461037,497634.544674858,253966.094047485,1107840.13692769,170169.748308447,9542950.5837011,234638.729551775,3231474.47974558,19834696.9544848
"disease","MS15006003",840798.823794038,332233.063841466,96406538.7843366,2179393.0253401,59981696.6373678,319434.089534965,5184.7778453323,757348.25020711,101336.475550848,23623.187020627,20773.8259061094,15569.0401138613,480648.788088696,221743.939330085,1499117.09531062,132387.286812906,8973755.65060587,282327.910913662,3524729.69479564,32174518.5881108
"disease","MS15006004",946673.468512543,335305.119595991,97475709.6318122,1768232.77877496,43754227.7752086,239987.255745667,5407.81717320645,804550.754277855,55095.1927632715,10309.1577774321,11508.9948823033,8370.61404919901,348840.21281426,138811.511147065,611881.801947411,94282.1402901681,8786160.11306615,133829.577406731,2480402.16571608,17930151.9304635
"disease","MS15006005",639113.075236722,366204.337066064,100710381.804894,1920717.38274028,45495689.9852042,263755.408708471,3555.85144040826,514757.907659431,86392.5755034975,17030.5899701766,5538.92001094139,40481.3712001609,539939.735993324,327875.979753723,950117.441266144,102174.896193262,10430107.4972267,249552.653974067,3563375.94455596,30546616.1395298
"disease","MS15006007",1380955.39457216,472585.979637421,114457682.308422,2346014.61391959,63703738.6404932,370741.289918584,2110.70624278324,691812.448862237,78409.4174398565,15188.2843753626,10192.3972823765,55296.7324601324,572603.618864642,200185.173270716,1111822.41014122,149397.864095407,7735903.7999604,266547.170746263,2986131.78958879,21909179.9389167
"disease","MS15006008",922643.168458473,375597.652790384,95780261.1900696,1634187.11800134,43617740.8587641,269551.980559697,3778.07894816507,474191.325376862,60754.3132685501,11765.1950821351,12680.369866668,11863.4582169952,358449.98703828,157237.42315482,1235500.44849848,107554.260655097,8930197.01570468,265708.250869793,2878710.10115889,20652134.6065829
"disease","MS15006009",946325.270373711,370838.133184886,95163652.9405721,1567396.46091232,43214897.5921101,252747.646412147,9789.3561213074,458898.355089213,36423.0451806943,8468.09476167494,13911.02642699,15512.3600437416,308866.546764351,162697.009718516,697881.585067487,85815.6876755418,9465288.59214115,160394.092107331,2655671.66771632,18433823.0149521
"disease","MS15006010",662345.484115501,362849.483146921,100640112.668526,1765085.11269922,44655345.290279,248045.489292432,16314.2539786638,688749.348627068,124834.951987913,16021.5777976527,19535.727819192,20205.792253406,715954.583978133,159671.078266686,1111146.15467529,110710.601043336,8848865.99835103,238180.528196811,2796630.46550504,20757053.0162484
"disease","MS15006011",1342034.64747623,328586.930561208,91019288.9260406,2242392.87245597,42627143.6265963,270699.066975613,3195.54387853418,528557.177415239,57268.4048470971,7542.6126185537,9292.12623841314,25419.4367237024,366947.811795112,258802.258114865,731928.566845104,86352.2068202145,7744693.49386684,158861.829066687,2888280.31077217,20511042.2964972
