m/z	ID	mode	Description
496.3442688	1.32_495.3370n	positive	LysoPC(16:0)(+)
480.3091772	1.32_480.3092m/z	negative	LysoPC(16:0)(-)
510.3562201	1.54_509.3486n	positive	LysoPC(17:0)
524.3731149	1.82_523.3658n	positive	LysoPC(18:0)(+)
508.3402939	1.83_508.3403m/z	negative	LysoPC(18:0)(-)
590.3225143	1.02_567.3333n	positive	LysoPC(22:6)
788.6180095	7.30_788.6180m/z	positive	PC(18:0/18:1)(+)
772.5873906	7.29_772.5874m/z	negative	PC(18:0/18:1)(-)
744.5548504	7.00_744.5549m/z	negative	PC(16:0/18:1)
747.4980714	5.93_747.4981m/z	negative	PA(40:6)
723.4959187	6.34_723.4959m/z	negative	PA(38:4)
809.5168534	5.84_809.5169m/z	negative	PI(16:0/16:0)
807.5028291	4.77_807.5028m/z	negative	PI(16:0/16:1)
835.5335401	6.04_835.5335m/z	negative	PI(16:0/18:1)
857.5183214	4.86_857.5183m/z	negative	PI(16:0/20:4)
889.5806082	7.01_889.5806m/z	negative	PI(18:0/20:2)
887.5650986	6.77_887.5651m/z	negative	PI(18:0/20:3)
913.5804316	6.90_913.5804m/z	negative	PI(18:0/22:4)
859.5325054	5.35_859.5325m/z	negative	PI(18:1/18:2)
885.5480674	5.82_885.5481m/z	negative	PI(18:1/20:3)
