sample	batch	class	order
20150707_QC_006_NEG	1	NA	1
20150707_QC_007_NEG	1	NA	2
20150707_QC_008_NEG	1	NA	3
20150707_QC_009_NEG	1	NA	4
20150707_QC_010_NEG	1	NA	5
MS15006001_NEG	1	disease	6
MS15006031_NEG	1	disease	7
MS15006091_NEG	1	healthy	8
MS15006002_NEG	1	disease	9
MS15006092_NEG	1	healthy	10
MS15006003_NEG	1	disease	11
MS15006033_NEG	1	disease	12
20150707_QC_011_NEG	1	NA	13
MS15006093_NEG	1	healthy	14
MS15006004_NEG	1	disease	15
MS15006034_NEG	1	disease	16
MS15006094_NEG	1	healthy	17
MS15006005_NEG	1	disease	18
MS15006035_NEG	1	disease	19
MS15006095_NEG	1	healthy	20
20150707_QC_012_NEG	1	NA	21
MS15006096_NEG	1	healthy	22
MS15006007_NEG	1	disease	23
MS15006037_NEG	1	disease	24
MS15006097_NEG	1	healthy	25
MS15006008_NEG	1	disease	26
MS15006038_NEG	1	disease	27
20150707_QC_013_NEG	1	NA	28
MS15006098_NEG	1	healthy	29
MS15006009_NEG	1	disease	30
MS15006039_NEG	1	disease	31
MS15006099_NEG	1	healthy	32
MS15006010_NEG	1	disease	33
MS15006040_NEG	1	disease	34
MS15006100_NEG	1	healthy	35
20150707_QC_014_NEG	1	NA	36
MS15006011_NEG	1	disease	37
MS15006041_NEG	1	disease	38
MS15006101_NEG	1	healthy	39
MS15006012_NEG	1	disease	40
MS15006042_NEG	1	disease	41
MS15006102_NEG	1	healthy	42
MS15006013_NEG	1	disease	43
MS15006043_NEG	1	disease	44
20150707_QC_015_NEG	1	NA	45
MS15006103_NEG	1	healthy	46
MS15006014_NEG	1	disease	47
MS15006104_NEG	1	healthy	48
MS15006045_NEG	1	disease	49
MS15006105_NEG	1	healthy	50
20150707_QC_016_NEG	1	NA	51
20150707_QC_017_NEG	1	NA	52
20150707_QC_018_NEG	1	NA	53
20150707_QC_019_NEG	2	NA	54
20150707_QC_020_NEG	2	NA	55
20150707_QC_021_NEG	2	NA	56
20150707_QC_022_NEG	2	NA	57
20150707_QC_023_NEG	2	NA	58
20150707_QC_024_NEG	2	NA	59
20150707_QC_027_NEG	2	NA	60
20150707_QC_028_NEG	2	NA	61
MS15006016_NEG	2	disease	62
MS15006076_NEG	2	healthy	63
MS15006106_NEG	2	healthy	64
MS15006017_NEG	2	disease	65
MS15006077_NEG	2	healthy	66
MS15006107_NEG	2	healthy	67
MS15006018_NEG	2	disease	68
20150707_QC_030_NEG	2	NA	69
MS15006078_NEG	2	healthy	70
MS15006108_NEG	2	healthy	71
MS15006049_NEG	2	disease	72
MS15006079_NEG	2	healthy	73
MS15006109_NEG	2	healthy	74
MS15006020_NEG	2	disease	75
MS15006080_NEG	2	healthy	76
MS15006110_NEG	2	healthy	77
20150707_QC_031_NEG	2	NA	78
MS15006021_NEG	2	disease	79
MS15006051_NEG	2	disease	80
MS15006081_NEG	2	healthy	81
MS15006111_NEG	2	healthy	82
MS15006082_NEG	2	healthy	83
MS15006112_NEG	2	healthy	84
MS15006023_NEG	2	disease	85
MS15006053_NEG	2	disease	86
20150707_QC_032_NEG	2	NA	87
MS15006083_NEG	2	healthy	88
MS15006113_NEG	2	healthy	89
MS15006024_NEG	2	disease	90
MS15006054_NEG	2	disease	91
MS15006084_NEG	2	healthy	92
MS15006114_NEG	2	healthy	93
MS15006025_NEG	2	disease	94
MS15006055_NEG	2	disease	95
MS15006085_NEG	2	healthy	96
MS15006115_NEG	2	healthy	97
20150707_QC_033_NEG	2	NA	98
MS15006026_NEG	2	disease	99
MS15006056_NEG	2	disease	100
MS15006086_NEG	2	healthy	101
MS15006116_NEG	2	healthy	102
MS15006057_NEG	2	disease	103
MS15006087_NEG	2	healthy	104
MS15006117_NEG	2	healthy	105
MS15006028_NEG	2	disease	106
MS15006058_NEG	2	disease	107
20150707_QC_034_NEG	2	NA	108
MS15006088_NEG	2	healthy	109
MS15006118_NEG	2	healthy	110
MS15006029_NEG	2	disease	111
MS15006089_NEG	2	healthy	112
MS15006119_NEG	2	healthy	113
MS15006030_NEG	2	disease	114
MS15006090_NEG	2	healthy	115
MS15006120_NEG	2	healthy	116
20150707_QC_035_NEG	2	NA	117
20150707_QC_036_NEG	2	NA	118
20150707_QC_037_NEG	2	NA	119
