sample	batch	class	order
QC20150707_QC_006_POS	1	NA	1
QC20150707_QC_007_POS	1	NA	2
QC20150707_QC_008_POS	1	NA	3
QC20150707_QC_009_POS	1	NA	4
QC20150707_QC_010_POS	1	NA	5
MS15006001_POS	1	disease	6
MS15006031_POS	1	disease	7
MS15006091_POS	1	healthy	8
MS15006002_POS	1	disease	9
MS15006092_POS	1	healthy	10
MS15006003_POS	1	disease	11
MS15006033_POS	1	disease	12
QC20150707_QC_011_POS	1	NA	13
MS15006093_POS	1	healthy	14
MS15006004_POS	1	disease	15
MS15006034_POS	1	disease	16
MS15006094_POS	1	healthy	17
MS15006005_POS	1	disease	18
MS15006035_POS	1	disease	19
MS15006095_POS	1	healthy	20
QC20150707_QC_012_POS	1	NA	21
MS15006096_POS	1	healthy	22
MS15006007_POS	1	disease	23
MS15006037_POS	1	disease	24
MS15006097_POS	1	healthy	25
MS15006008_POS	1	disease	26
MS15006038_POS	1	disease	27
QC20150707_QC_013_POS	1	NA	28
MS15006098_POS	1	healthy	29
MS15006009_POS	1	disease	30
MS15006039_POS	1	disease	31
MS15006099_POS	1	healthy	32
MS15006010_POS	1	disease	33
MS15006040_POS	1	disease	34
MS15006100_POS	1	healthy	35
QC20150707_QC_014_POS	1	NA	36
MS15006011_POS	1	disease	37
MS15006041_POS	1	disease	38
MS15006101_POS	1	healthy	39
MS15006012_POS	1	disease	40
MS15006042_POS	1	disease	41
MS15006102_POS	1	healthy	42
MS15006013_POS	1	disease	43
MS15006043_POS	1	disease	44
QC20150707_QC_015_POS	1	NA	45
MS15006103_POS	1	healthy	46
MS15006014_POS	1	disease	47
MS15006104_POS	1	healthy	48
MS15006045_POS	1	disease	49
MS15006105_POS	1	healthy	50
QC20150707_QC_016_POS	1	NA	51
QC20150707_QC_017_POS	1	NA	52
QC20150707_QC_018_POS	1	NA	53
QC20150707_QC_024_POS	2	NA	54
QC20150707_QC_025_POS	2	NA	55
QC20150707_QC_026_POS	2	NA	56
QC20150707_QC_027_POS	2	NA	57
QC20150707_QC_028_POS	2	NA	58
MS15006016	2	disease	59
MS15006076	2	healthy	60
MS15006106	2	healthy	61
MS15006017	2	disease	62
MS15006077	2	healthy	63
MS15006107	2	healthy	64
MS15006018	2	disease	65
QC20150707_QC_030_POS	2	NA	66
MS15006078	2	healthy	67
MS15006108	2	healthy	68
MS15006049	2	disease	69
MS15006079	2	healthy	70
MS15006109	2	healthy	71
MS15006020	2	disease	72
MS15006080	2	healthy	73
MS15006110	2	healthy	74
QC20150707_QC_031_POS	2	NA	75
MS15006021	2	disease	76
MS15006051	2	disease	77
MS15006081	2	healthy	78
MS15006111	2	healthy	79
MS15006082	2	healthy	80
MS15006112	2	healthy	81
MS15006023	2	disease	82
MS15006053	2	disease	83
QC20150707_QC_032_POS	2	NA	84
MS15006083	2	healthy	85
MS15006113	2	healthy	86
MS15006024	2	disease	87
MS15006054	2	disease	88
MS15006084	2	healthy	89
MS15006114	2	healthy	90
MS15006025	2	disease	91
MS15006055	2	disease	92
MS15006085	2	healthy	93
MS15006115	2	healthy	94
QC20150707_QC_033_POS	2	NA	95
MS15006026	2	disease	96
MS15006056	2	disease	97
MS15006086	2	healthy	98
MS15006116	2	healthy	99
MS15006057	2	disease	100
MS15006087	2	healthy	101
MS15006117	2	healthy	102
MS15006028	2	disease	103
MS15006058	2	disease	104
QC20150707_QC_034_POS	2	NA	105
MS15006088	2	healthy	106
MS15006118	2	healthy	107
MS15006029	2	disease	108
MS15006089	2	healthy	109
MS15006119	2	healthy	110
MS15006030	2	disease	111
MS15006090	2	healthy	112
MS15006120	2	healthy	113
QC20150707_QC_035_POS	2	NA	114
QC20150707_QC_036_POS	2	NA	115
QC20150707_QC_037_POS	2	NA	116
